name,label,phcf
4bbd5171-c877-45d4-8fb6-2a92abaf6308,Пункт здоров'я с.Мельникове,082a0736-07c3-421b-a75c-64bbae7e92c1
55a1d89f-5da3-4a68-a891-ae49021168e4,Пункт здоров'я с.Минківка,082a0736-07c3-421b-a75c-64bbae7e92c1
bdc09689-e5f2-4541-84c1-67fed4977b93,Пункт здоров'я с.Перекіп,082a0736-07c3-421b-a75c-64bbae7e92c1
9a8c9a36-79ed-477d-9af8-803cc21a67d3,Пункт здоров'я с.Черемушна,082a0736-07c3-421b-a75c-64bbae7e92c1
5c5779fd-a09a-4ca0-8cea-86b284ff6926,Фельдшерський пункт с. Огульці,082a0736-07c3-421b-a75c-64bbae7e92c1
448ba965-ce41-4cf6-a6e7-b99f3eaba606,Фельдшерський пункт с. Серпневе,082a0736-07c3-421b-a75c-64bbae7e92c1
e89bebe6-1dd7-4d48-a0d7-ad510e476beb,Фельдшерський пункт с.Баранове,082a0736-07c3-421b-a75c-64bbae7e92c1
cc49bf3f-00f5-4ffd-bd2d-c6e2696aa586,Фельдшерський пункт с.Гонтів Яр,082a0736-07c3-421b-a75c-64bbae7e92c1
59cf26ce-4b56-4ece-97b1-ebd01512baa5,Фельдшерський пункт с.Заміське,082a0736-07c3-421b-a75c-64bbae7e92c1
1f79e2d8-67dc-4a0b-aacb-1c97af29cbd4,Фельдшерський пункт с.Новий Мерчик,082a0736-07c3-421b-a75c-64bbae7e92c1
19698858-e1b7-49b7-b1ed-fcb1c1222926,Фельдшерський пункт с.Олександрівка,082a0736-07c3-421b-a75c-64bbae7e92c1
d0f9bfb8-8f8c-46a3-8a3d-7a7be406f909,ВІЛЬНОТЕРЕШКІВСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
661489ee-b60e-4343-ac4d-f543bd2eae1f,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО «ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ПРИШИБСЬКОЇ СІЛЬСЬКОЇ РАДИ»,0867e3ce-bcac-4e44-9418-61217b85d842
8a4a04c1-8c4b-4059-9f87-69e65c9ec9f5,КРИВУШІВСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
e88baa1b-0c7e-488c-b1ca-2c8b8c20bf32,МАКСИМІВСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
ed343d8c-e8ef-4998-b6b0-0f7c30131494,НЕДОГАРКІВСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
a90b8e82-1271-4a92-aa1e-3f654a9f7f24,НОВОГАЛЕЩИНСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
8bc63fd2-621f-4e0c-978d-1d98b397c563,НОВОЗНАМ`ЯНСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
3e0a0bb6-fc61-451f-9590-17548c020b0b,ОМЕЛЬНИЦЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
910da632-9812-4992-9ccb-d9b9d6df959d,ПІЩАНСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
be240c0a-0176-401f-926a-823b9057ce12,ПРИШИБСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
5af4fdc7-20e9-49b9-b3b3-1b3962af2ca0,РОКИТНЕНСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
c5c1bfd4-e6e2-40fe-8971-d3d81e1f391a,ЯЛИНЦІВСЬКА АЗПСМ,0867e3ce-bcac-4e44-9418-61217b85d842
073ae67a-708d-488a-835c-11d949d16ab5,Амбулаторія ЗПСМ №1,0d123794-c39e-49cb-b1eb-d695bc2c5794
073ae67a-790d-488a-835c-47d949d16ab5,Амбулаторія ЗПСМ №2,0d123794-c39e-49cb-b1eb-d695bc2c5794
d3b1bd3f-5e3a-4ec3-afca-5d69584049b5,Сімейна амбулаторія №3,0d123794-c39e-49cb-b1eb-d695bc2c5794
16f369b6-7940-41ac-b754-40921e67dd11,Сімейна амбулаторія №4,0d123794-c39e-49cb-b1eb-d695bc2c5794
418fecde-0146-41b6-b085-b7b799aa82f6,Сімейна амбулаторія №5,0d123794-c39e-49cb-b1eb-d695bc2c5794
5ad0e878-002f-4343-a455-658b657e5091,Сімейна амбулаторія №6,0d123794-c39e-49cb-b1eb-d695bc2c5794
